trade_id,label,direction,entry_time,entry_price,entry_signal_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,position_size,entry_fee,exit_fee,total_fees,gross_pnl,net_pnl,pnl_r,mfe_dollar,mae_dollar,equity_before,equity_after,signal_reason
11,train,short,2024-07-31 20:00:00+00:00,65224.2016,65256.83,2024-08-01 17:00:00+00:00,62597.2595,take_profit,66333.1714,62565.9765,0.09133333,5.9571,5.7172,11.6744,239.9274,234.2102,2.3124,266.8944,-18.0656,9830.5846,10058.8376,SHORT relative squeeze breakout | recent_low=65958.0 ratio=0.54
12,train,short,2024-08-04 15:00:00+00:00,59556.8967,59586.7,2024-08-05 00:00:00+00:00,57138.5738,take_profit,60577.3725,57110.0188,0.10153545,6.0471,5.8016,11.8487,245.5455,239.7439,2.3138,391.5102,-4.3765,10058.8376,10292.5344,SHORT relative squeeze breakout | recent_low=60081.6 ratio=0.43
13,train,short,2024-08-07 15:00:00+00:00,56057.7871,56085.83,2024-08-08 02:00:00+00:00,57570.9326,stop_loss,57542.1615,52445.0012,0.07067439,3.9618,4.0688,8.0306,-106.9406,-111.0094,-1.0582,105.9527,-111.5647,10292.5344,10177.5631,SHORT relative squeeze breakout | recent_low=56544.7 ratio=0.41
14,train,short,2024-08-19 10:00:00+00:00,57977.5967,58006.59,2024-08-19 13:00:00+00:00,58746.2997,stop_loss,58716.9412,56230.7119,0.14327508,8.3067,8.4169,16.7236,-110.136,-118.5529,-1.1192,27.2648,-142.1867,10177.5631,10050.7035,SHORT relative squeeze breakout | recent_low=58216.3 ratio=0.26
15,train,short,2024-09-03 14:00:00+00:00,58369.7905,58398.99,2024-09-04 01:00:00+00:00,56491.5467,take_profit,59173.26,56463.3151,0.12980877,7.5769,7.3331,14.91,243.8125,236.4794,2.2674,358.7643,-3.7904,10050.7035,10279.606,SHORT relative squeeze breakout | recent_low=58717.0 ratio=0.26
16,train,short,2024-09-05 04:00:00+00:00,57106.8523,57135.42,2024-09-06 14:00:00+00:00,54901.947,take_profit,58039.7841,54874.5098,0.11366668,6.4911,6.2405,12.7317,250.6243,244.3837,2.3046,304.9236,-27.6378,10279.606,10517.4986,SHORT relative squeeze breakout | recent_low=57653.1 ratio=0.25
17,train,long,2024-09-13 15:00:00+00:00,58486.1184,58456.89,2024-09-13 22:00:00+00:00,60341.5333,take_profit,57690.9583,60371.7192,0.13731641,8.0311,8.2859,16.317,254.7789,246.493,2.2575,293.7035,-17.0435,10517.4986,10755.9605,LONG relative squeeze breakout | recent_high=58350.0 ratio=0.58
18,train,long,2024-09-17 15:00:00+00:00,60296.123,60265.17,2024-09-18 10:00:00+00:00,59325.7731,stop_loss,59355.4508,62539.4679,0.11823386,7.129,7.0143,14.1434,-114.7282,-121.7425,-1.0946,121.0569,-111.9962,10755.9605,10627.0889,LONG relative squeeze breakout | recent_high=59445.8 ratio=0.59
19,train,short,2024-10-01 14:00:00+00:00,62835.3666,62866.8,2024-10-01 20:00:00+00:00,60999.8586,take_profit,63625.7705,60969.3739,0.1400198,8.7982,8.5412,17.3394,257.0075,248.4663,2.2451,374.0442,-34.8136,10627.0889,10866.757,SHORT relative squeeze breakout | recent_low=63559.6 ratio=0.30
20,train,short,2024-10-09 19:00:00+00:00,61165.402,61196.01,2024-10-10 18:00:00+00:00,59326.789,take_profit,61955.5578,59297.1404,0.14306877,8.7509,8.4878,17.2387,263.0481,254.5603,2.2518,317.5271,-22.3585,10866.757,11112.5664,SHORT relative squeeze breakout | recent_low=61634.6 ratio=0.58
