trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,recent_high,recent_low,recent_range,prior_high,prior_low,prior_range,compression_ratio,atr_at_entry,atr_pct_at_entry,bar_range_at_entry,close_location_at_entry,ema_fast_at_entry,ema_slow_at_entry,entry_mode
11,train,short,2024-07-31 20:00:00+00:00,2024-08-01 17:00:00+00:00,65224.2016,62597.2595,take_profit,66333.1714,62565.9765,234.2102,2.3124,266.8944,-18.0656,11.6744,66849.24,65958.0,891.24,66948.0,65302.67,1645.33,0.5417,538.1707,0.8247,1691.98,0.1771,66579.03,66764.14,immediate
12,train,short,2024-08-04 15:00:00+00:00,2024-08-05 00:00:00+00:00,59556.8967,57138.5738,take_profit,60577.3725,57110.0188,239.7439,2.3138,391.5102,-4.3765,11.8487,61097.55,60081.57,1015.98,62198.22,59850.0,2348.22,0.4327,495.3362,0.8313,1559.0,0.173,61552.06,64139.53,immediate
13,train,short,2024-08-07 15:00:00+00:00,2024-08-08 02:00:00+00:00,56057.7871,57570.9326,stop_loss,57542.1615,52445.0012,-111.0094,-1.0582,105.9527,-111.5647,8.0306,57736.05,56544.7,1191.35,57287.99,54371.94,2916.05,0.4085,728.1658,1.2983,1338.0,0.3257,56448.07,59816.68,immediate
14,train,short,2024-08-19 10:00:00+00:00,2024-08-19 13:00:00+00:00,57977.5967,58746.2997,stop_loss,58716.9412,56230.7119,-118.5529,-1.1192,27.2648,-142.1867,16.7236,58763.83,58216.33,547.5,60284.99,58210.03,2074.96,0.2639,355.1756,0.6123,705.78,0.0581,59110.42,59282.48,immediate
15,train,short,2024-09-03 14:00:00+00:00,2024-09-04 01:00:00+00:00,58369.7905,56491.5467,take_profit,59173.26,56463.3151,236.4794,2.2674,358.7643,-3.7904,14.91,59350.0,58717.0,633.0,59809.65,57362.06,2447.59,0.2586,387.135,0.6629,1121.86,0.1789,58701.81,59480.28,immediate
16,train,short,2024-09-05 04:00:00+00:00,2024-09-06 14:00:00+00:00,57106.8523,54901.947,take_profit,58039.7841,54874.5098,244.3837,2.3046,304.9236,-27.6378,12.7317,58390.0,57653.13,736.87,58519.0,55606.0,2913.0,0.253,452.182,0.7914,801.93,0.3047,57751.38,58832.51,immediate
17,train,long,2024-09-13 15:00:00+00:00,2024-09-13 22:00:00+00:00,58486.1184,60341.5333,take_profit,57690.9583,60371.7192,246.493,2.2575,293.7035,-17.0435,16.317,58350.0,57632.62,717.38,58588.0,57345.23,1242.77,0.5772,382.9658,0.6551,719.63,0.8664,57767.49,57030.46,immediate
18,train,long,2024-09-17 15:00:00+00:00,2024-09-18 10:00:00+00:00,60296.123,59325.7731,stop_loss,59355.4508,62539.4679,-121.7425,-1.0946,121.0569,-111.9962,14.1434,59445.76,58450.0,995.76,59179.35,57493.3,1686.05,0.5906,454.8596,0.7548,1466.18,0.9038,58811.52,58370.88,immediate
19,train,short,2024-10-01 14:00:00+00:00,2024-10-01 20:00:00+00:00,62835.3666,60999.8586,take_profit,63625.7705,60969.3739,248.4663,2.2451,374.0442,-34.8136,17.3394,64130.63,63559.63,571.0,64750.01,62856.3,1893.71,0.3015,379.4852,0.6036,1166.0,0.2957,64184.77,64201.69,immediate
20,train,short,2024-10-09 19:00:00+00:00,2024-10-10 18:00:00+00:00,61165.402,59326.789,take_profit,61955.5578,59297.1404,254.5603,2.2518,317.5271,-22.3585,17.2387,62412.09,61634.61,777.48,63200.0,61860.31,1339.69,0.5803,379.7739,0.6206,668.19,0.0689,62321.36,62510.08,immediate
21,train,long,2024-10-18 02:00:00+00:00,2024-10-21 13:00:00+00:00,68119.5427,67166.7813,stop_loss,67200.3815,70298.2962,-128.0509,-1.1096,175.7656,-121.4739,16.9851,67526.0,66720.0,806.0,68100.0,66666.0,1434.0,0.5621,442.5592,0.65,1066.92,0.8356,67101.51,65059.81,immediate
22,train,long,2024-10-29 14:00:00+00:00,2024-10-31 14:00:00+00:00,71839.892,70907.4982,stop_loss,70942.9696,73956.5759,-127.8956,-1.1186,226.9341,-154.9943,18.1967,71578.95,70837.83,741.12,71587.88,67618.0,3969.88,0.1867,430.5152,0.5996,896.75,0.9757,69512.77,68014.44,immediate
23,train,short,2024-11-03 14:00:00+00:00,2024-11-03 20:00:00+00:00,68014.1059,68778.0769,stop_loss,68743.705,66309.1924,-129.7645,-1.1414,83.4258,-150.4746,21.3159,68771.58,68200.01,571.57,69838.62,67864.16,1974.46,0.2895,347.7875,0.5111,532.92,0.1429,69242.37,69521.65,immediate
24,train,short,2024-11-04 17:00:00+00:00,2024-11-05 05:00:00+00:00,67722.122,68781.8345,stop_loss,68747.4608,65277.348,-121.7723,-1.1006,95.7266,-115.9738,14.7297,69264.52,68202.99,1061.53,69500.0,67478.73,2021.27,0.5252,495.7304,0.7316,1200.41,0.1184,68869.33,69320.63,immediate
25,train,long,2024-11-08 19:00:00+00:00,2024-11-09 17:00:00+00:00,76850.406,75690.331,stop_loss,75728.1951,79521.5124,-120.5141,-1.1012,34.0921,-110.7601,14.8761,76584.6,75630.76,953.84,76849.99,74512.19,2337.8,0.408,541.9025,0.7055,657.0,0.7154,75256.5,72178.19,immediate
26,train,long,2024-11-12 19:00:00+00:00,2024-11-21 03:00:00+00:00,88840.8082,95854.9755,take_profit,85953.8032,95902.927,254.1233,2.3964,259.445,-99.6472,6.7842,88023.66,85072.0,2951.66,89940.0,81460.19,8479.81,0.3481,1421.3034,1.6006,1970.1,0.9589,84904.34,78396.38,immediate
27,train,long,2024-11-29 03:00:00+00:00,2024-12-02 08:00:00+00:00,96788.36,95471.5221,stop_loss,95519.2818,99791.7256,-123.7068,-1.1129,160.4358,-167.8575,16.8404,96023.48,94698.0,1325.48,97208.21,94640.0,2568.21,0.5161,610.3491,0.6309,955.07,0.8754,95168.89,94813.33,immediate
28,train,long,2024-12-06 18:00:00+00:00,2024-12-09 03:00:00+00:00,100894.482,98413.5402,stop_loss,98462.7716,106797.246,-114.3854,-1.0607,44.5464,-109.1945,8.8386,99500.0,97512.26,1987.74,103550.0,90500.0,13050.0,0.1523,1190.6392,1.1807,2367.42,0.8285,98751.44,97233.79,immediate
29,train,long,2024-12-12 15:00:00+00:00,2024-12-12 19:00:00+00:00,101752.891,100234.1648,stop_loss,100284.307,105246.3726,-119.2327,-1.1024,57.9687,-179.7925,14.8759,101545.78,100178.32,1367.46,101888.0,97248.87,4639.13,0.2948,708.8665,0.697,1120.33,0.9574,99640.06,98593.77,immediate
30,train,short,2024-12-30 14:00:00+00:00,2024-12-30 17:00:00+00:00,92634.1797,93803.5414,stop_loss,93756.663,89990.1624,-121.0711,-1.1253,105.7896,-150.0797,17.8696,94277.23,93240.03,1037.2,95315.5,93009.52,2305.98,0.4498,538.0715,0.5806,1207.9,0.0559,94267.16,95916.95,immediate
31,train,long,2025-01-06 15:00:00+00:00,2025-01-07 15:00:00+00:00,100787.3985,99428.1141,stop_loss,99477.8531,103884.9723,-117.985,-1.1139,156.6688,-293.9205,16.194,99763.99,98709.28,1054.71,99892.0,97276.79,2615.21,0.4033,629.5885,0.625,2583.29,0.7839,98511.32,96985.29,immediate
32,train,long,2025-01-15 14:00:00+00:00,2025-01-16 14:00:00+00:00,99013.472,97462.4762,stop_loss,97511.2318,102595.9205,-114.1335,-1.0973,128.3083,-105.4979,13.6033,97600.31,96521.0,1079.31,97724.96,94753.42,2971.54,0.3632,726.3841,0.734,2221.01,0.9507,96012.49,95414.57,immediate
33,train,long,2025-01-23 15:00:00+00:00,2025-01-23 15:00:00+00:00,105266.2068,103006.6607,stop_loss,103058.1898,110601.7754,-108.93,-1.07,24.2427,-120.9254,9.6028,102968.31,101262.28,1706.03,105952.0,101575.5,4376.5,0.3898,1077.6551,1.0243,4061.05,0.7938,103644.51,102514.57,immediate
34,train,short,2025-02-24 15:00:00+00:00,2025-02-24 23:00:00+00:00,94627.1128,92329.2874,take_profit,95630.9577,92283.1458,226.5103,2.197,336.6441,-58.2814,19.2009,96177.18,95339.35,837.83,96558.01,95078.01,1480.0,0.5661,478.2588,0.5052,1222.0,0.0789,95997.39,96511.51,immediate
35,train,short,2025-02-25 08:00:00+00:00,2025-02-26 18:00:00+00:00,89275.35,84608.5819,take_profit,91221.4945,84566.2987,241.9535,2.3545,309.2879,-38.264,9.1817,92871.89,90912.01,1959.88,96500.0,92368.0,4132.0,0.4743,950.7423,1.0644,3241.82,0.3455,94264.58,95911.12,immediate
36,train,short,2025-02-28 02:00:00+00:00,2025-02-28 15:00:00+00:00,81620.7192,83976.6614,stop_loss,83934.694,75978.69,-110.3177,-1.0544,152.0174,-126.8321,7.4873,85039.67,82716.49,2323.18,87303.47,82256.01,5047.46,0.4603,1136.572,1.3918,3294.17,0.1671,86195.28,91294.16,immediate
37,train,short,2025-04-08 15:00:00+00:00,2025-04-09 17:00:00+00:00,78440.67,80475.3486,stop_loss,80435.131,73591.8575,-109.9508,-1.0605,198.6077,-199.8953,8.2608,80375.0,78819.65,1555.35,81243.58,74508.0,6735.58,0.2309,977.6105,1.2457,1784.0,0.0033,79569.61,81824.92,immediate
38,train,long,2025-04-16 15:00:00+00:00,2025-04-16 17:00:00+00:00,84647.6027,83452.8046,stop_loss,83494.5518,87382.2054,-115.6509,-1.1086,77.1214,-124.1874,15.209,84262.0,83140.89,1121.11,86496.42,83111.64,3384.78,0.3312,555.3791,0.6564,1134.75,0.7852,84266.09,83365.23,immediate
39,train,long,2025-04-22 14:00:00+00:00,2025-04-22 21:00:00+00:00,90281.2781,93147.1637,take_profit,89053.1198,93193.7606,232.6484,2.2576,302.6243,-21.3555,15.3907,89220.35,87953.86,1266.49,88877.0,86389.78,2487.22,0.5092,591.5201,0.6555,1554.99,0.831,87308.58,85400.51,immediate
40,train,long,2025-05-08 16:00:00+00:00,2025-05-08 21:00:00+00:00,100808.459,103823.8268,take_profit,99511.0061,103875.7647,237.0059,2.244,271.6634,-17.2946,16.6575,99888.0,99036.59,851.41,99419.0,95784.61,3634.39,0.2343,623.5369,0.6188,2209.03,0.6528,97577.1,95811.18,immediate
41,train,short,2025-05-31 02:00:00+00:00,2025-05-31 21:00:00+00:00,103424.8617,104923.8819,stop_loss,104871.4462,99989.5196,-119.3641,-1.1088,26.5164,-108.5997,15.5051,104988.97,103550.0,1438.97,106889.39,103706.71,3182.68,0.4521,697.4181,0.674,925.26,0.2234,105885.93,107282.32,immediate
42,train,short,2025-06-04 12:00:00+00:00,2025-06-05 18:00:00+00:00,105031.8178,102957.8905,take_profit,105955.5291,102906.4373,192.3095,2.1338,239.0741,-85.6568,20.2938,106000.0,105250.0,750.0,106794.67,104872.5,1922.17,0.3902,435.5845,0.4145,739.78,0.0055,105382.46,105817.66,immediate
43,train,long,2025-06-09 10:00:00+00:00,2025-06-09 18:00:00+00:00,106665.8363,108418.8367,take_profit,105868.2987,108473.0733,160.9719,2.0621,184.661,-9.8405,21.0525,105949.09,105318.37,630.72,106488.14,104964.14,1524.0,0.4139,372.1107,0.349,1056.0,0.7391,105527.43,105240.25,immediate
