trade_id,label,direction,entry_time,entry_price,entry_signal_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,position_size,entry_fee,exit_fee,total_fees,gross_pnl,net_pnl,pnl_r,mfe_dollar,mae_dollar,equity_before,equity_after,signal_reason
40,train,long,2025-09-02 12:45:00+00:00,108816.381,108762.0,2025-09-02 12:45:00+00:00,108381.4961,stop_loss,108435.714,109414.572,0.07996643,8.7017,8.6669,17.3685,-34.7762,-43.4431,-1.4271,1.4593,-33.8251,8697.3083,8645.1636,RSI=22.6 BB_lower=109196.7 close=108762.0 swing_low=108681.5
41,train,long,2025-09-05 14:30:00+00:00,111051.498,110996.0,2025-09-05 14:30:00+00:00,110607.6805,stop_loss,110663.012,111661.976,0.07788716,8.6495,8.6149,17.2644,-34.5677,-43.1826,-1.4271,5.1913,-36.9666,8645.1636,8593.3315,RSI=29.3 BB_lower=111518.6 close=110996.0 swing_low=110917.4
42,train,long,2025-09-09 14:45:00+00:00,111626.4553,111570.68,2025-09-09 15:30:00+00:00,111180.35,stop_loss,111235.968,112240.1041,0.07702141,8.5976,8.5633,17.1609,-34.3597,-42.9229,-1.4272,21.1173,-63.5377,8593.3315,8541.8109,RSI=26.5 BB_lower=112057.1 close=111570.7 swing_low=111535.7
43,train,long,2025-09-22 06:15:00+00:00,113067.3754,113010.87,2025-09-23 03:00:00+00:00,111520.6118,stop_loss,111576.4,115879.81,0.05954681,6.7328,6.6407,13.3735,-92.1048,-98.7455,-1.1122,21.7575,-94.6422,8541.8109,8436.3326,RSI=21.4 BB_lower=113600.5 close=113010.9 swing_low=111800.0
44,train,long,2025-09-25 17:45:00+00:00,109428.747,109374.07,2025-09-25 17:45:00+00:00,108991.4248,stop_loss,109045.9478,110030.3144,0.07713284,8.4406,8.4068,16.8474,-33.7319,-42.1387,-1.4272,2.0288,-59.7584,8436.3326,8385.7533,RSI=26.3 BB_lower=109886.5 close=109374.1 swing_low=109374.1
45,train,long,2025-10-05 09:45:00+00:00,123050.2644,122988.76,2025-10-05 10:00:00+00:00,122558.4838,stop_loss,122619.7937,123726.6926,0.06818309,8.3899,8.3564,16.7464,-33.5311,-41.8875,-1.4271,14.9823,-36.1387,8385.7533,8335.4759,RSI=27.6 BB_lower=123741.3 close=122988.8 swing_low=122876.3
46,train,long,2025-10-07 14:15:00+00:00,122893.346,122831.93,2025-10-07 15:00:00+00:00,122402.2025,stop_loss,122463.4342,123568.9216,0.06786082,8.3396,8.3063,16.646,-33.3294,-41.6357,-1.4271,29.1092,-81.2563,8335.4759,8285.5005,RSI=27.1 BB_lower=123410.7 close=122831.9 swing_low=122750.0
47,train,long,2025-10-10 15:30:00+00:00,119312.4864,119252.86,2025-10-10 15:30:00+00:00,118835.6539,stop_loss,118895.1014,119968.3772,0.06947842,8.2896,8.2565,16.5462,-33.1296,-41.3861,-1.4271,18.3259,-56.4503,8285.5005,8235.8248,RSI=22.5 BB_lower=120096.8 close=119252.9 swing_low=119250.0
48,train,long,2025-10-10 21:00:00+00:00,114323.9534,114266.82,2025-10-10 21:00:00+00:00,112756.5155,stop_loss,112812.922,117174.616,0.05664651,6.4761,6.3873,12.8633,-88.7899,-95.1771,-1.112,44.6792,-251.7345,8235.8248,8134.1716,RSI=20.1 BB_lower=115283.0 close=114266.8 swing_low=113039.0
49,train,long,2025-10-13 11:30:00+00:00,113700.1517,113643.33,2025-10-13 11:45:00+00:00,114268.0274,take_profit,113302.4,114325.19,0.07157632,8.1382,8.1789,16.3171,40.6465,32.4676,1.1404,48.661,-5.0835,8134.1716,8158.5009,RSI=24.1 BB_lower=114224.8 close=113643.3 swing_low=113616.5
50,train,long,2025-10-14 10:30:00+00:00,110433.3291,110378.14,2025-10-14 10:30:00+00:00,109991.9821,stop_loss,110047.0056,111040.4088,0.0739141,8.1626,8.13,16.2925,-32.6218,-40.7517,-1.4271,18.2325,-31.1244,8158.5009,8109.5866,RSI=17.4 BB_lower=110813.2 close=110378.1 swing_low=110348.1
51,train,long,2025-10-16 16:00:00+00:00,108603.4846,108549.21,2025-10-16 16:15:00+00:00,108090.8941,stop_loss,108144.9666,109357.6968,0.07470885,8.1136,8.0753,16.189,-38.295,-46.3704,-1.3537,16.1756,-51.9245,8109.5866,8055.1026,RSI=27.5 BB_lower=109242.3 close=108549.2 swing_low=108361.7
52,train,long,2025-10-17 06:45:00+00:00,107073.52,107020.0,2025-10-17 06:45:00+00:00,106632.8569,stop_loss,106686.2,107687.6,0.07526726,8.0591,8.026,16.0851,-33.1675,-41.1935,-1.413,9.2165,-32.6457,8055.1026,8005.85,RSI=23.6 BB_lower=107673.3 close=107020.0 swing_low=106900.0
53,train,long,2025-10-17 07:45:00+00:00,105812.6199,105759.73,2025-10-17 08:00:00+00:00,105389.7296,stop_loss,105442.4508,106394.2884,0.07569847,8.0099,7.9778,15.9877,-32.0121,-39.99,-1.4271,14.1079,-57.7292,8005.85,7957.8501,RSI=16.7 BB_lower=106006.9 close=105759.7 swing_low=105688.5
54,train,long,2025-10-20 00:30:00+00:00,107708.0171,107654.2,2025-10-20 02:15:00+00:00,108338.4037,take_profit,107285.0,108392.6,0.07392048,7.9618,8.0084,15.9703,46.5985,38.5901,1.2341,59.83,-22.5825,7957.8501,7988.4783,RSI=28.8 BB_lower=108052.3 close=107654.2 swing_low=107500.0
