trade_id,label,direction,entry_time,entry_price,entry_signal_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,position_size,entry_fee,exit_fee,total_fees,gross_pnl,net_pnl,pnl_r,mfe_dollar,mae_dollar,equity_before,equity_after,signal_reason
48,train,short,2025-02-24 19:00:00+00:00,94114.5792,94161.67,2025-02-24 23:00:00+00:00,92117.7338,take_profit,95206.656,92071.6979,0.08650072,8.141,7.9683,16.1092,172.7286,164.7603,1.7441,239.2021,-39.5179,9039.2048,9195.8241,SHORT resume below prev_low=94328.0 | pullbacks=2 ATR%=0.62%
49,train,short,2025-02-25 15:00:00+00:00,87113.6714,87157.25,2025-02-25 22:00:00+00:00,89250.4846,stop_loss,89205.8816,83059.9868,0.04488764,3.9103,4.0062,7.9166,-95.9165,-99.9227,-1.064,47.7013,-105.3288,9195.8241,9091.991,SHORT resume below prev_low=88750.4 | pullbacks=3 ATR%=1.31%
50,train,short,2025-03-09 16:00:00+00:00,83038.8598,83080.41,2025-03-09 22:00:00+00:00,80897.1266,take_profit,84192.2659,80856.6982,0.08177311,6.7903,6.6152,13.4056,175.1362,168.521,1.7867,231.9355,-58.8243,9091.991,9253.7216,SHORT resume below prev_low=83000.0 | pullbacks=1 ATR%=0.74%
51,train,short,2025-03-10 17:00:00+00:00,78969.5055,79009.98,2025-03-11 08:00:00+00:00,81278.0858,stop_loss,81237.4671,74555.0058,0.04154332,3.2807,3.3766,6.6572,-95.9061,-99.2827,-1.0537,98.1879,-106.1895,9253.7216,9151.1583,SHORT resume below prev_low=79570.6 | pullbacks=1 ATR%=1.57%
52,train,long,2025-03-24 04:00:00+00:00,86575.336,86532.07,2025-03-24 14:00:00+00:00,87909.4981,take_profit,85821.3676,87953.4749,0.10575453,9.1557,9.2968,18.4526,141.0937,131.7969,1.6529,231.6124,-4.5766,9151.1583,9273.7994,LONG resume above prev_high=85950.0 | pullbacks=2 ATR%=0.46%
53,train,long,2025-03-25 20:00:00+00:00,88160.2881,88116.23,2025-03-25 22:00:00+00:00,87125.1449,stop_loss,87168.7293,90011.2314,0.09787644,8.6288,8.5275,17.1563,-101.3161,-109.8436,-1.1318,37.1286,-97.7754,9273.7994,9155.327,LONG resume above prev_high=88060.0 | pullbacks=2 ATR%=0.60%
54,train,short,2025-03-29 15:00:00+00:00,82462.768,82504.01,2025-03-30 02:00:00+00:00,83408.663,stop_loss,83366.9795,80778.071,0.10609097,8.7486,8.8489,17.5975,-100.3509,-109.1998,-1.1383,86.778,-96.5472,9155.327,9037.3786,SHORT resume below prev_low=82454.4 | pullbacks=2 ATR%=0.58%
55,train,short,2025-04-06 17:00:00+00:00,81929.005,81970.0,2025-04-06 18:00:00+00:00,80578.1767,take_profit,82686.0461,80537.9077,0.11025227,9.0329,8.8839,17.9168,148.9319,140.048,1.6779,356.5575,-5.8902,9037.3786,9168.3937,SHORT resume below prev_low=82400.0 | pullbacks=1 ATR%=0.49%
56,train,long,2025-04-21 06:00:00+00:00,87593.775,87550.0,2025-04-21 11:00:00+00:00,86709.9581,stop_loss,86753.3348,89143.3305,0.1047218,9.173,9.0804,18.2534,-92.5549,-101.6353,-1.1548,21.0999,-99.4318,9168.3937,9057.5854,LONG resume above prev_high=87390.5 | pullbacks=1 ATR%=0.51%
57,train,long,2025-04-22 18:00:00+00:00,91441.8381,91396.14,2025-04-22 21:00:00+00:00,93663.9293,take_profit,90238.8176,93710.7847,0.07826329,7.1565,7.3304,14.487,173.9082,166.5777,1.7692,191.4447,-42.0147,9057.5854,9217.0066,LONG resume above prev_high=91042.0 | pullbacks=1 ATR%=0.70%
58,train,long,2025-05-01 15:00:00+00:00,96876.414,96827.99,2025-05-03 23:00:00+00:00,95795.211,stop_loss,95843.1325,98797.705,0.09358721,9.0664,8.9652,18.0316,-101.1868,-110.152,-1.1391,95.3903,-105.1362,9217.0066,9097.7882,LONG resume above prev_high=96734.9 | pullbacks=1 ATR%=0.57%
59,train,long,2025-05-08 07:00:00+00:00,99089.52,99039.99,2025-05-08 15:00:00+00:00,101028.5209,take_profit,98020.4548,101079.0604,0.08923467,8.8422,9.0152,17.8575,173.0261,164.0108,1.7192,217.3319,-4.7232,9097.7882,9252.9569,LONG resume above prev_high=99120.0 | pullbacks=2 ATR%=0.57%
60,train,long,2025-05-09 02:00:00+00:00,103149.8892,103098.34,2025-05-12 07:00:00+00:00,105765.128,take_profit,101738.4915,105818.037,0.06804403,7.0187,7.1967,14.2154,177.9514,170.7547,1.778,181.6477,-56.7997,9252.9569,9416.6928,LONG resume above prev_high=103268.4 | pullbacks=1 ATR%=0.73%
61,train,long,2025-05-20 20:00:00+00:00,107079.9832,107026.47,2025-05-21 23:00:00+00:00,109879.9545,take_profit,105572.244,109934.9219,0.06475399,6.9339,7.1152,14.049,181.3093,174.1941,1.7842,240.7163,-74.0885,9416.6928,9583.9531,LONG resume above prev_high=106419.2 | pullbacks=1 ATR%=0.75%
62,train,long,2025-06-11 00:00:00+00:00,110329.5272,110274.39,2025-06-11 12:00:00+00:00,109089.0978,stop_loss,109143.6696,112535.8308,0.08475971,9.3515,9.2464,18.5979,-105.1384,-114.3848,-1.138,0.0,-111.9428,9583.9531,9460.2168,LONG resume above prev_high=110181.1 | pullbacks=2 ATR%=0.57%
