trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
11,fold_8_oos,long,2025-11-25 10:45:00+00:00,2025-11-25 13:45:00+00:00,87276.2863,86869.2371,stop_loss,86912.6934,88032.6115,-55.3341,-1.3584,57.7982,-45.4605,19.5097,long,1,4,266.6472,0.3057,87653.72,87209.69
12,fold_8_oos,long,2025-11-27 02:30:00+00:00,2025-11-27 03:45:00+00:00,91525.74,91036.2633,stop_loss,91081.8042,92475.4895,-61.6026,-1.3077,45.0214,-51.1062,19.373,long,1,2,331.8298,0.3627,89669.94,88190.58
13,fold_8_oos,long,2025-11-28 15:30:00+00:00,2025-11-28 16:00:00+00:00,92714.8743,92159.0611,stop_loss,92205.1637,93827.0158,-67.3806,-1.2713,8.436,-91.4309,19.2245,long,1,4,386.1553,0.4167,91660.41,90702.21
14,fold_8_oos,short,2025-12-01 02:00:00+00:00,2025-12-01 04:15:00+00:00,87125.3155,85913.5066,take_profit,87688.2455,85870.5713,123.4702,2.0001,156.3058,-41.0894,18.9761,short,2,5,432.7796,0.4965,90227.79,90778.95
15,fold_8_oos,short,2025-12-01 13:45:00+00:00,2025-12-01 14:00:00+00:00,85747.5548,86228.7586,stop_loss,86185.6658,84802.3755,-63.9803,-1.2952,0.8507,-66.0428,19.391,short,1,3,329.3548,0.3839,86858.82,89100.29
16,fold_8_oos,short,2025-12-02 16:30:00+00:00,2025-12-02 16:45:00+00:00,90232.5811,90951.0722,stop_loss,90905.6194,88707.9365,-86.071,-1.2027,0.0,-93.2184,19.2659,short,3,4,523.2578,0.5796,87934.72,87727.71
17,fold_8_oos,long,2025-12-03 05:45:00+00:00,2025-12-03 07:15:00+00:00,93468.1807,92920.3022,stop_loss,92966.7856,94558.1461,-65.1894,-1.278,49.889,-60.749,18.9616,long,1,3,378.8954,0.4056,91794.98,89507.73
18,fold_8_oos,long,2025-12-04 02:15:00+00:00,2025-12-04 05:00:00+00:00,93729.1512,93151.9075,stop_loss,93198.5068,94891.8181,-67.4758,-1.2634,35.3132,-70.511,18.8097,long,2,4,403.1694,0.4304,93118.02,91493.24
19,fold_8_oos,long,2025-12-04 15:45:00+00:00,2025-12-04 16:00:00+00:00,93086.55,92513.7511,stop_loss,92560.0311,94240.0273,-66.8765,-1.2636,0.9037,-60.7647,18.6563,long,1,2,399.9991,0.4299,92987.48,92164.1
20,fold_8_oos,short,2025-12-05 14:30:00+00:00,2025-12-05 15:00:00+00:00,90395.0299,90837.0208,stop_loss,90791.625,89561.8126,-54.6498,-1.3435,53.3679,-111.1441,18.5882,short,2,3,292.8125,0.3238,91554.68,91985.39
21,fold_8_oos,long,2025-12-08 02:45:00+00:00,2025-12-08 04:45:00+00:00,91251.663,91245.6843,end_of_data,90720.061,92421.0574,-9.82,-0.1829,22.1114,-26.539,18.4329,long,1,5,404.9991,0.444,90378.13,90054.12
