trade_id,label,direction,entry_time,entry_price,entry_signal_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,position_size,entry_fee,exit_fee,total_fees,gross_pnl,net_pnl,pnl_r,mfe_dollar,mae_dollar,equity_before,equity_after,signal_reason
91,train,long,2024-07-18 01:30:00+00:00,64668.318,64636.01,2024-07-18 02:15:00+00:00,64340.4265,stop_loss,64372.6128,65294.5029,0.12602812,8.15,8.1087,16.2587,-41.3235,-49.4323,-1.3264,58.6008,-53.2302,8145.955,8088.3727,LONG resume above prev_high=64555.0 | pullbacks=1 ATR%=0.34%
92,train,short,2024-07-19 09:45:00+00:00,63634.8467,63666.68,2024-07-19 10:15:00+00:00,63966.2433,stop_loss,63934.2761,62997.6897,0.12704248,8.0843,8.1264,16.2108,-42.1014,-50.2279,-1.3204,0.0,-60.6187,8088.3727,8030.0605,SHORT resume below prev_low=63884.7 | pullbacks=3 ATR%=0.35%
93,train,long,2024-07-19 17:30:00+00:00,66538.4426,66505.19,2024-07-20 17:15:00+00:00,67421.7428,take_profit,66125.0778,67455.4705,0.12074337,8.0341,8.1407,16.1748,106.6526,98.5119,1.9737,127.9345,-38.1528,8030.0605,8120.5383,LONG resume above prev_high=66460.0 | pullbacks=1 ATR%=0.48%
94,train,long,2024-07-21 19:30:00+00:00,67351.4589,67317.81,2024-07-22 00:45:00+00:00,68333.2857,take_profit,66897.9462,68367.4695,0.12062987,8.1246,8.243,16.3676,118.4376,110.1946,2.0143,135.4783,-16.8229,8120.5383,8222.6083,LONG resume above prev_high=67046.0 | pullbacks=2 ATR%=0.52%
95,train,short,2024-07-23 15:15:00+00:00,66922.532,66956.01,2024-07-23 16:45:00+00:00,66050.1198,take_profit,67331.5695,66017.1112,0.12280613,8.2185,8.1114,16.3299,107.1376,99.0262,1.9714,131.7135,-15.6514,8222.6083,8313.4161,SHORT resume below prev_low=67118.0 | pullbacks=3 ATR%=0.47%
96,train,short,2024-07-24 15:00:00+00:00,66726.63,66760.01,2024-07-24 16:00:00+00:00,66084.4031,take_profit,67043.463,66051.3774,0.12452688,8.3093,8.2293,16.5385,79.9745,71.7452,1.8184,95.0713,-10.6309,8313.4161,8376.852,SHORT resume below prev_low=66774.0 | pullbacks=3 ATR%=0.35%
97,train,short,2024-07-24 20:00:00+00:00,65619.184,65652.0,2024-07-24 20:30:00+00:00,65997.9751,stop_loss,65964.9926,64869.5185,0.12759477,8.3727,8.421,16.7937,-48.3318,-56.7528,-1.2862,0.0,-45.7524,8376.852,8311.7266,SHORT resume below prev_low=65936.0 | pullbacks=2 ATR%=0.40%
98,train,long,2024-07-26 21:15:00+00:00,67726.8165,67692.97,2024-07-27 12:00:00+00:00,68369.5718,take_profit,67408.6485,68403.7737,0.12278567,8.3159,8.3948,16.7107,78.9211,70.5263,1.8053,91.4721,-11.8877,8311.7266,8373.9371,LONG resume above prev_high=67605.3 | pullbacks=3 ATR%=0.35%
99,train,long,2024-07-29 18:15:00+00:00,67377.672,67344.0,2024-07-29 23:00:00+00:00,66851.5409,stop_loss,66884.9834,68491.5416,0.1243457,8.3781,8.3127,16.6908,-65.4221,-73.7348,-1.2036,21.8834,-84.6548,8373.9371,8291.8241,LONG resume above prev_high=67126.0 | pullbacks=1 ATR%=0.57%
100,train,short,2024-07-30 01:45:00+00:00,66364.811,66398.01,2024-07-30 04:15:00+00:00,66783.342,stop_loss,66749.967,65518.1176,0.12488061,8.2877,8.3399,16.6276,-52.2664,-60.6063,-1.26,50.7316,-50.102,8291.8241,8222.9301,SHORT resume below prev_low=66700.0 | pullbacks=3 ATR%=0.44%
101,train,short,2024-07-31 19:15:00+00:00,66226.88,66260.01,2024-07-31 19:45:00+00:00,65480.4591,take_profit,66584.9199,65447.7352,0.12410095,8.2188,8.1262,16.345,92.6315,84.5054,1.9019,157.5759,-6.0971,8222.9301,8299.2166,SHORT resume below prev_low=66380.0 | pullbacks=1 ATR%=0.41%
102,train,short,2024-07-31 22:30:00+00:00,64703.642,64736.0,2024-08-01 04:45:00+00:00,63734.8235,take_profit,65149.2112,63702.972,0.12820095,8.2951,8.1709,16.4659,124.2035,116.0326,2.0313,139.779,-40.301,8299.2166,8406.9541,SHORT resume below prev_low=64842.0 | pullbacks=2 ATR%=0.53%
